id,persona_id,persona,persona_group,task_id,task,required_authority_classes,required_source_classes,candidate_source_ids,acceptable_evidence,currency_tolerance,likely_failure_modes,definition_of_success,professional_escalation
P19-T07,P19,Local-authority lawyer,local-government,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC02 | SC07 | SC09 | SC23 | SC24 | SC04,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC009 | SRC010 | SRC011 | SRC037 | SRC040 | SRC041 | SRC017,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live. Qualified human review is mandatory before consequential use.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",True
P19-T10,P19,Local-authority lawyer,local-government,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC02 | SC07 | SC09 | SC23 | SC15 | SC16 | SC17,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC009 | SRC010 | SRC011 | SRC037 | SRC040 | SRC041 | SRC018,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action. Qualified human review is mandatory before consequential use.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P19-T11,P19,Local-authority lawyer,local-government,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC02 | SC07 | SC09 | SC23 | SC20,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC009 | SRC010 | SRC011 | SRC037 | SRC040 | SRC041 | SRC031,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision. Qualified human review is mandatory before consequential use.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P19-T13,P19,Local-authority lawyer,local-government,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC01 | SC02 | SC07 | SC09 | SC23 | SC04 | SC21 | SC24,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC009 | SRC010 | SRC011 | SRC037 | SRC040 | SRC041 | SRC004,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven. Qualified human review is mandatory before consequential use.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",True
P19-T15,P19,Local-authority lawyer,local-government,T15,Draft or check legal instruments,binding-authority | history | procedural-material,SC01 | SC02 | SC07 | SC09 | SC23 | SC03 | SC05,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC009 | SRC010 | SRC011 | SRC037 | SRC040 | SRC041 | SRC006,"Enabling provisions, drafting guidance, precedents with status, current affected law and versioned draft.",Live at drafting/clearance milestones. Qualified human review is mandatory before consequential use.,wrong enabling power | defective cross-reference | extent/commencement mismatch,Each drafting proposition and dependency is traceable; human counsel approves.,True
P19-T18,P19,Local-authority lawyer,local-government,T18,Identify institutional competence,binding-authority | legal-service-information,SC01 | SC02 | SC07 | SC09 | SC23 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC009 | SRC010 | SRC011 | SRC037 | SRC040 | SRC041 | SRC012,"Founding/empowering provisions, delegation, jurisdiction and temporal organisation identity.",Live for current bodies. Qualified human review is mandatory before consequential use.,organisation page treated as power source | successor/predecessor confused | delegation missing,"Competence, delegation, review route and date are sourced.",True
P19-T19,P19,Local-authority lawyer,local-government,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC02 | SC07 | SC09 | SC23 | SC17 | SC21,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC009 | SRC010 | SRC011 | SRC037 | SRC040 | SRC041 | SRC023,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes. Qualified human review is mandatory before consequential use.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P20-T02,P20,Local-authority operational officer,local-government,T02,Determine whether law is in force,binding-authority,SC01 | SC02 | SC07 | SC22 | SC23 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC022 | SRC031 | SRC034 | SRC037 | SRC040 | SRC041 | SRC004,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P20-T04,P20,Local-authority operational officer,local-government,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC02 | SC07 | SC22 | SC23 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC022 | SRC031 | SRC034 | SRC037 | SRC040 | SRC041 | SRC009,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",False
P20-T07,P20,Local-authority operational officer,local-government,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC02 | SC07 | SC22 | SC23 | SC24 | SC04,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC022 | SRC031 | SRC034 | SRC037 | SRC040 | SRC041 | SRC017,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P20-T09,P20,Local-authority operational officer,local-government,T09,Apply rules to facts,binding-authority | persuasive-authority,SC01 | SC02 | SC07 | SC22 | SC23 | SC09,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC022 | SRC031 | SRC034 | SRC037 | SRC040 | SRC041 | SRC009,"Controlling text/cases, issue-element mapping, stated factual assumptions and uncertainty.",Live for current advice; professional review required.,facts invented | legal conclusion overconfident | discretion treated as rule,"Elements, exceptions, burdens and missing facts are mapped, with escalation.",True
P20-T10,P20,Local-authority operational officer,local-government,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC02 | SC07 | SC22 | SC23 | SC15 | SC16 | SC17,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC022 | SRC031 | SRC034 | SRC037 | SRC040 | SRC041 | SRC018,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P20-T13,P20,Local-authority operational officer,local-government,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC01 | SC02 | SC07 | SC22 | SC23 | SC04 | SC21 | SC24,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC022 | SRC031 | SRC034 | SRC037 | SRC040 | SRC041 | SRC004,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",False
P20-T16,P20,Local-authority operational officer,local-government,T16,Produce accessible public explanation,binding-authority | official-guidance | legal-service-information,SC01 | SC02 | SC07 | SC22 | SC23 | SC28,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC022 | SRC031 | SRC034 | SRC037 | SRC040 | SRC041 | SRC061,"Authoritative passages plus official service guidance, with simplifications/limits labelled.",Live for current rights/process.,exception omitted | advice presented as certainty | accessibility/translation errors,"Explanation is accurate, scoped, readable, accessible and links to authoritative evidence.",False
P20-T18,P20,Local-authority operational officer,local-government,T18,Identify institutional competence,binding-authority | legal-service-information,SC01 | SC02 | SC07 | SC22 | SC23 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC022 | SRC031 | SRC034 | SRC037 | SRC040 | SRC041 | SRC009,"Founding/empowering provisions, delegation, jurisdiction and temporal organisation identity.",Live for current bodies.,organisation page treated as power source | successor/predecessor confused | delegation missing,"Competence, delegation, review route and date are sourced.",False
P20-T19,P20,Local-authority operational officer,local-government,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC02 | SC07 | SC22 | SC23 | SC17 | SC21,SRC001 | SRC002 | SRC007 | SRC047 | SRC060 | SRC022 | SRC031 | SRC034 | SRC037 | SRC040 | SRC041 | SRC023,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P21-T01,P21,In-house counsel,legal-practice,T01,Locate controlling authority,binding-authority,SC01 | SC09 | SC20 | SC21 | SC10,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research. Qualified human review is mandatory before consequential use.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",True
P21-T02,P21,In-house counsel,legal-practice,T02,Determine whether law is in force,binding-authority,SC01 | SC09 | SC20 | SC21 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P21-T04,P21,In-house counsel,legal-practice,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC09 | SC20 | SC21 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
P21-T05,P21,In-house counsel,legal-practice,T05,"Trace amendments, commencement and repeal",binding-authority,SC01 | SC09 | SC20 | SC21 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037,"Official effect feeds, amending instruments/provisions, commencement orders and selected passages.",Live verification at answer time. Qualified human review is mandatory before consequential use.,absence of recorded effect treated as no effect | prospective effect treated as operative | repeal savings omitted,Bidirectional change graph and current application status are evidenced.,True
P21-T06,P21,In-house counsel,legal-practice,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC09 | SC20 | SC21 | SC10 | SC13,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance. Qualified human review is mandatory before consequential use.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,True
P21-T09,P21,In-house counsel,legal-practice,T09,Apply rules to facts,binding-authority | persuasive-authority,SC01 | SC09 | SC20 | SC21,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037,"Controlling text/cases, issue-element mapping, stated factual assumptions and uncertainty.",Live for current advice; professional review required. Qualified human review is mandatory before consequential use.,facts invented | legal conclusion overconfident | discretion treated as rule,"Elements, exceptions, burdens and missing facts are mapped, with escalation.",True
P21-T11,P21,In-house counsel,legal-practice,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC09 | SC20 | SC21,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision. Qualified human review is mandatory before consequential use.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P21-T13,P21,In-house counsel,legal-practice,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC01 | SC09 | SC20 | SC21 | SC04 | SC24,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven. Qualified human review is mandatory before consequential use.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",True
P21-T17,P21,In-house counsel,legal-practice,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC09 | SC20 | SC21,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions. Qualified human review is mandatory before consequential use.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P21-T19,P21,In-house counsel,legal-practice,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC09 | SC20 | SC21 | SC17 | SC23,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes. Qualified human review is mandatory before consequential use.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P22-T01,P22,"Compliance, risk or governance professional",business,T01,Locate controlling authority,binding-authority,SC01 | SC20 | SC21 | SC22 | SC09 | SC10,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC009 | SRC010,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",False
P22-T02,P22,"Compliance, risk or governance professional",business,T02,Determine whether law is in force,binding-authority,SC01 | SC20 | SC21 | SC22 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC004 | SRC003,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P22-T04,P22,"Compliance, risk or governance professional",business,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC20 | SC21 | SC22 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC009 | SRC011,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",False
P22-T07,P22,"Compliance, risk or governance professional",business,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC20 | SC21 | SC22 | SC24 | SC04,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC017 | SRC044,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P22-T09,P22,"Compliance, risk or governance professional",business,T09,Apply rules to facts,binding-authority | persuasive-authority,SC01 | SC20 | SC21 | SC22 | SC09,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC009 | SRC010,"Controlling text/cases, issue-element mapping, stated factual assumptions and uncertainty.",Live for current advice; professional review required.,facts invented | legal conclusion overconfident | discretion treated as rule,"Elements, exceptions, burdens and missing facts are mapped, with escalation.",True
P22-T11,P22,"Compliance, risk or governance professional",business,T11,"Prepare litigation, advice, policy, compliance or enforcement work",binding-authority | persuasive-authority | official-guidance,SC01 | SC20 | SC21 | SC22 | SC09,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC009 | SRC010,"Authority-ranked source set, selected passages, adverse material, currency and assumptions.",Live before issue/decision.,confirmation bias | material adverse source omitted | official guidance elevated above law,"Deliverable is reproducible, balanced and professionally reviewable.",True
P22-T13,P22,"Compliance, risk or governance professional",business,T13,Monitor legal change,binding-authority | procedural-material | delegated-administrative-rules | official-guidance,SC01 | SC20 | SC21 | SC22 | SC04 | SC24,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC004 | SRC017,"Official feeds/logs, hashes, version differences and impact classification.",Source-specific service-level objective; critical sources daily or event-driven.,silent source deletion | publication event missed | cosmetic change escalated as legal change,"Change event is detected, typed, evidenced, impact-assessed and reviewable.",False
P22-T16,P22,"Compliance, risk or governance professional",business,T16,Produce accessible public explanation,binding-authority | official-guidance | legal-service-information,SC01 | SC20 | SC21 | SC22 | SC28,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC061 | SRC062,"Authoritative passages plus official service guidance, with simplifications/limits labelled.",Live for current rights/process.,exception omitted | advice presented as certainty | accessibility/translation errors,"Explanation is accurate, scoped, readable, accessible and links to authoritative evidence.",False
P22-T17,P22,"Compliance, risk or governance professional",business,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC20 | SC21 | SC22 | SC09,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC009 | SRC010,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P22-T18,P22,"Compliance, risk or governance professional",business,T18,Identify institutional competence,binding-authority | legal-service-information,SC01 | SC20 | SC21 | SC22 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC009 | SRC011,"Founding/empowering provisions, delegation, jurisdiction and temporal organisation identity.",Live for current bodies.,organisation page treated as power source | successor/predecessor confused | delegation missing,"Competence, delegation, review route and date are sourced.",False
P22-T19,P22,"Compliance, risk or governance professional",business,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC20 | SC21 | SC22 | SC17 | SC23,SRC001 | SRC002 | SRC007 | SRC031 | SRC033 | SRC034 | SRC032 | SRC035 | SRC037 | SRC022 | SRC023 | SRC024,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P23-T01,P23,Legal-aid or advice worker,public-advice,T01,Locate controlling authority,binding-authority,SC01 | SC17 | SC28 | SC09 | SC10,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063 | SRC009 | SRC010 | SRC011,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research. Qualified human review is mandatory before consequential use.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",True
P23-T02,P23,Legal-aid or advice worker,public-advice,T02,Determine whether law is in force,binding-authority,SC01 | SC17 | SC28 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063 | SRC004 | SRC003,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers. Qualified human review is mandatory before consequential use.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P23-T04,P23,Legal-aid or advice worker,public-advice,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC17 | SC28 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063 | SRC009 | SRC011 | SRC012,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction. Qualified human review is mandatory before consequential use.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",True
P23-T09,P23,Legal-aid or advice worker,public-advice,T09,Apply rules to facts,binding-authority | persuasive-authority,SC01 | SC17 | SC28 | SC09,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063 | SRC009 | SRC010 | SRC011,"Controlling text/cases, issue-element mapping, stated factual assumptions and uncertainty.",Live for current advice; professional review required. Qualified human review is mandatory before consequential use.,facts invented | legal conclusion overconfident | discretion treated as rule,"Elements, exceptions, burdens and missing facts are mapped, with escalation.",True
P23-T10,P23,Legal-aid or advice worker,public-advice,T10,"Find procedural steps, deadlines, forms and fees",procedural-material | binding-authority | legal-service-information,SC01 | SC17 | SC28 | SC15 | SC16,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063 | SRC018 | SRC019 | SRC020,Current rule/order/practice direction plus live form/fee/service verification.,Same-day/live verification before action. Qualified human review is mandatory before consequential use.,outdated form/fee | wrong forum | guidance deadline not checked against rule,Actionable steps cite the operative procedural passage and current service artefacts.,True
P23-T16,P23,Legal-aid or advice worker,public-advice,T16,Produce accessible public explanation,binding-authority | official-guidance | legal-service-information,SC01 | SC17 | SC28 | SC22,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063 | SRC022 | SRC031 | SRC034,"Authoritative passages plus official service guidance, with simplifications/limits labelled.",Live for current rights/process. Qualified human review is mandatory before consequential use.,exception omitted | advice presented as certainty | accessibility/translation errors,"Explanation is accurate, scoped, readable, accessible and links to authoritative evidence.",True
P23-T17,P23,Legal-aid or advice worker,public-advice,T17,Audit an AI-generated legal answer,binding-authority | persuasive-authority | procedural-material,SC01 | SC17 | SC28 | SC09,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063 | SRC009 | SRC010 | SRC011,"Proposition-to-citation ledger, source hashes, version context and coverage declaration.",Re-verify all material current-law propositions. Qualified human review is mandatory before consequential use.,invented citation | citation does not support proposition | hidden retrieval gap,"Every material proposition is supported, classified and risk-rated; hard failures cap the answer.",True
P23-T19,P23,Legal-aid or advice worker,public-advice,T19,Identify remedies and enforcement outcomes,binding-authority | procedural-material | delegated-administrative-rules | persuasive-authority,SC01 | SC17 | SC28 | SC21 | SC23,SRC001 | SRC002 | SRC007 | SRC023 | SRC024 | SRC026 | SRC061 | SRC062 | SRC063 | SRC032 | SRC035 | SRC037,"Operative remedy provisions, procedure, official decisions/notices and appeal status.",Live for current remedies and routes. Qualified human review is mandatory before consequential use.,past outcome treated as guaranteed | appeal route missed | regulator summary substituted for notice,"Remedy conditions, forum, deadline, discretion and evidence are explicit.",True
P24-T01,P24,Civil-society or human-rights advocate,civil-society,T01,Locate controlling authority,binding-authority,SC01 | SC09 | SC24 | SC33 | SC10,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC058 | SRC012,Official work/case/rule identity plus selected passage and court/institutional competence.,Live verification at answer time for current advice; historical date fixed for retrospective research.,topical but non-controlling source | later appeal or higher authority missed | guidance presented as law,"Controlling authority is identified, hierarchy and jurisdiction are stated, and every material proposition has a pinpoint.",False
P24-T02,P24,Civil-society or human-rights advocate,civil-society,T02,Determine whether law is in force,binding-authority,SC01 | SC09 | SC24 | SC33 | SC04 | SC05,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC058 | SRC004 | SRC003,"Versioned legislation, commencement/effect records, extent and amendments with live official verification.",Zero tolerance for stale current-law answers.,latest text confused with in-force text | unapplied effect ignored | commencement or savings omitted,"Answer states the relevant version, commencement, extent, amendments, savings and uncertainty.",True
P24-T03,P24,Civil-society or human-rights advocate,civil-society,T03,Point-in-time and historical research,binding-authority | history,SC01 | SC09 | SC24 | SC33 | SC04 | SC35,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC058 | SRC004 | SRC015,"Dated expressions, amendment chronology, archived official material and source hashes.",Exact historical cut-off; later material segregated.,anachronism | current consolidation substituted for historical text | archive date mistaken for legal date,A reproducible dated state and change chronology are supplied.,False
P24-T04,P24,Civil-society or human-rights advocate,civil-society,T04,Territorial extent and jurisdiction,binding-authority | legal-service-information,SC01 | SC09 | SC24 | SC33 | SC14 | SC30,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC058 | SRC012 | SRC067,"Extent metadata, devolution/competence provisions, court or regulator jurisdiction sources.",Live for current competence; exact for historical jurisdiction.,UK-wide assumption | extent confused with application | court/body identity conflated,"Territory, legal system, institutional competence and exceptions are explicit.",False
P24-T06,P24,Civil-society or human-rights advocate,civil-society,T06,Identify judicial interpretation and treatment,binding-authority | persuasive-authority,SC01 | SC09 | SC24 | SC33 | SC10 | SC13,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC058 | SRC012 | SRC068,"Official judgments, cited passage, court hierarchy, later treatment and appeal status.",Live citator/treatment check before reliance.,citation occurrence treated as approval | headnote substituted for judgment | later reversal missed,Treatment verbs are passage-evidenced and hierarchy/date qualified.,False
P24-T07,P24,Civil-society or human-rights advocate,civil-society,T07,Construct a chronology,binding-authority | history | official-guidance,SC01 | SC09 | SC24 | SC33 | SC04,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC058 | SRC004,"Typed dated events with source identity, event date and publication/retrieval date separated.",Depends on task; current chronologies checked live.,publication date confused with effective date | events silently omitted | time zones/version ambiguity,"A typed, source-backed chronology exposes gaps and conflicting dates.",False
P24-T08,P24,Civil-society or human-rights advocate,civil-society,T08,Compare jurisdictions,binding-authority | procedural-material,SC01 | SC09 | SC24 | SC33 | SC15,SRC001 | SRC002 | SRC007 | SRC009 | SRC010 | SRC011 | SRC017 | SRC044 | SRC045 | SRC058 | SRC018 | SRC019,Separate authoritative sources per jurisdiction with explicit non-equivalence.,Same effective date across compared systems.,English rule generalised to UK | same label assumed same concept | asynchronous reform ignored,"Differences, commonalities, dates and institutional contexts are separately sourced.",False
